category,vendor
pubs,Pawn Shop
pubs,The 1884
pubs,The Voyager
restaurants,Bavaroi
restaurants,Board Dublin
restaurants,Chicken Hut
restaurants,Haferkater
restaurants,I Monelli
restaurants,La Mie Câline
restaurants,Marqette
restaurants,Murphys Ice Cream
restaurants,Pane E Vino
restaurants,Platform 1
restaurants,Takeaway.com
restaurants,Wowburger
services,Cardly Pty Ltd Cardly
services,Google
services,Stadlander
services,Vlachantonis I Kai S
shopping,Aelia Jewerly
shopping,Cadeaux Tabac Souvenirs
shopping,Card Gallery
shopping,Cois Farraige Crafts & Gifts
shopping,Cortina
shopping,IJ-Hallen
shopping,Moher Music Shop 01
shopping,Rose Du Pont
shopping,Shop In Der Eibsee Seilba
shopping,oneills
transfers,To Gabriela Santos de Sousa
transport,93030240 Karlsruhe Bhf St
transport,Go South Coast
transport,OASA - Transport for Athens
travel,National Express
travel,SNCF
entertainment,Electronic Arts
gifts,German Souvenirs
gifts,Zola.com registry
groceries,Grocery Store
groceries,Healthy & Fruity
groceries,Supermercat
health,McGreal's
pubs,Lennan’s Yard
pubs,The Vintage Inn
restaurants,Anagennisi
restaurants,Bataplan
restaurants,Boojum
restaurants,Bram Ladage
restaurants,C'est Chau
restaurants,Gastro Garmisch Classic
restaurants,Gourmet Tart
restaurants,Katzela Vasiliki
restaurants,Kebab
restaurants,Le Sérac
restaurants,Leac A Re
restaurants,Padthaitogo Order
restaurants,Pbz8verdegelato
restaurants,Rifugio Socrepes
restaurants,Robosnack Garmisch
restaurants,Roni's Bakery
restaurants,The Strand House 02
restaurants,asiagourmet
services,Belo Concept
services,Madigan Group
services,Sumup
services,Thecareertest.org Y
services,Warp
shopping,Art and Hobby
shopping,Kilkenny Shop
transport,BP
transport,Brussels Midi
transport,KTEL
transport,Wiener Linien
